"","Subject","Trial","Condition","SS1vSS2top","SS1amount","SS1delay","LL1amount","LL1delay","SS2amount","SS2delay","LL2amount","LL2delay","TrialStart","RT","TrialOver","Choice","Run","Day"
"3481",116,106,40,0,15.32,21,1.75,63,13.35,21,4,63,200.9597,1.4471,1.9649,0,2,"Fast"
"3482",116,107,29,1,9.81,7,1.53,70,8.55,7,3.5,70,202.955,1.0997,1.6154,0,2,"Fast"
"3483",116,108,38,0,11.67,21,3.5,63,9.95,21,5.47,63,204.6011,1.0048,1.5156,0,2,"Fast"
"3484",116,109,39,0,12.36,21,1.53,63,10.77,21,3.5,63,206.1475,1.9467,2.4636,0,2,"Fast"
"3485",116,110,42,1,13.26,21,1.53,84,11.56,21,3.5,84,208.6416,1.2923,1.8154,0,2,"Fast"
"3486",116,111,3,1,13.39,0,1.53,21,11.67,0,3.5,21,210.4873,2.2791,2.7954,0,2,"Fast"
"3487",116,112,4,0,12.36,0,1.53,21,10.77,0,3.5,21,213.3139,1.8127,2.3307,0,2,"Fast"
"3488",116,113,21,1,15.32,7,1.53,49,13.35,7,3.5,49,215.675,1.7943,2.3141,0,2,"Fast"
"3489",116,114,31,1,14.84,21,1.53,42,12.93,21,3.5,42,218.0195,1.9386,2.4634,0,2,"Fast"
"3490",116,115,12,0,13.26,0,1.53,63,11.56,0,3.5,63,220.5136,1.2278,1.7487,0,2,"Fast"
"3491",116,116,23,1,14.38,7,1.53,49,12.53,7,3.5,49,222.2928,1.0017,1.5161,0,2,"Fast"
"3492",116,117,15,0,15.17,0,1.75,63,13.22,0,4,63,223.8391,1.1993,1.7152,0,2,"Fast"
"3493",116,118,25,0,12.36,7,1.53,49,10.77,7,3.5,49,225.585,1.0017,1.5158,1,2,"Fast"
"3494",116,119,33,0,13.39,21,1.53,42,11.67,21,3.5,42,227.1314,1.0007,1.5159,0,2,"Fast"
"3495",116,120,38,1,13.39,21,1.53,63,11.67,21,3.5,63,228.6777,1.0017,1.5151,0,2,"Fast"
"3496",116,121,6,0,14.84,0,1.53,42,12.93,0,3.5,42,230.2241,1.1098,1.6323,0,2,"Fast"
"3497",116,122,22,0,14.84,7,1.53,49,12.93,7,3.5,49,231.8868,1.1906,1.7157,0,2,"Fast"
"3498",116,123,16,0,14.84,7,1.53,28,12.93,7,3.5,28,233.6327,1.0017,1.5161,0,2,"Fast"
"3499",116,124,18,0,13.39,7,1.53,28,11.67,7,3.5,28,235.1791,1.8504,2.3639,0,2,"Fast"
"3500",116,125,27,1,13.26,7,1.53,70,11.56,7,3.5,70,237.5734,1.9127,2.4304,0,2,"Fast"
"3501",116,126,43,1,11.59,21,1.53,84,10.1,21,3.5,84,240.0343,1.2276,1.749,0,2,"Fast"
"3502",116,127,11,1,14.82,0,1.53,63,12.91,0,3.5,63,241.8134,1.2246,1.7494,1,2,"Fast"
"3503",116,128,13,0,10.1,0,3.5,63,8.61,0,5.47,63,243.5927,2.1014,2.63,1,2,"Fast"
"3504",116,129,24,0,13.39,7,1.53,49,11.67,7,3.5,49,246.2529,2.0417,2.5637,0,2,"Fast"
"3505",116,130,20,0,15.32,7,1.75,28,13.35,7,4,28,248.8469,1.9589,2.4806,0,2,"Fast"
"3506",116,131,36,0,14.84,21,1.53,63,12.93,21,3.5,63,251.3576,1.4398,1.965,0,2,"Fast"
"3507",116,132,1,0,12.93,0,3.5,21,11.02,0,5.47,21,253.3529,1.0776,1.5993,0,2,"Fast"
"3508",116,133,8,0,13.39,0,1.53,42,11.67,0,3.5,42,254.9824,1.0647,1.5821,0,2,"Fast"
"3509",116,134,13,1,2.65,0,13.35,63,1.16,0,15.32,63,256.5952,5.1782,5.6892,0,2,"Fast"
"3510",116,135,1,0,14.84,0,1.53,21,12.93,0,3.5,21,262.3151,2.4589,2.9795,0,2,"Fast"
"3511",120,1,35,1,9.41,21,8.51,42,7.44,21,10.76,42,2.1284,2.86,3.4404,1,1,"Fast"
